Res,Date,Flow
DET,1-Jan,1200
DET,1-Feb,1000
DET,16-Mar,1500
DET,1-Jun,1200
DET,15-Jul,1000
DET,1-Sep,1500
DET,1-Nov,1200
DET,31-Dec,1200
GPR,1-Jan,1100
GPR,1-Feb,800
GPR,1-Mar,800
GPR,16-Mar,1500
GPR,1-Apr,1500
GPR,1-May,1500
GPR,16-May,1100
GPR,1-Jun,1100
GPR,1-Jul,800
GPR,1-Aug,800
GPR,1-Sep,1500
GPR,1-Oct,1500
GPR,16-Oct,1100
GPR,1-Nov,1100
GPR,1-Dec,1100
GPR,31-Dec,1100
FRN,1-Jan,30
FRN,1-Feb,50
FRN,1-Mar,50
FRN,1-Apr,50
FRN,1-May,50
FRN,1-Jun,50
FRN,1-Jul,30
FRN,1-Aug,30
FRN,1-Sep,30
FRN,1-Oct,30
FRN,1-Nov,30
FRN,1-Dec,30
FRN,31-Dec,30
BLU,1-Jan,50
BLU,31-Dec,50
CGR,1-Jan,300
CGR,1-Jun,400
CGR,1-Jul,300
CGR,31-Dec,300
DOR,1-Jan,100
DOR,1-Feb,190
DOR,1-Mar,190
DOR,1-Apr,190
DOR,1-May,190
DOR,1-Jun,190
DOR,1-Jul,100
DOR,1-Aug,100
DOR,1-Sep,100
DOR,1-Oct,100
DOR,1-Nov,100
DOR,1-Dec,100
DOR,31-Dec,100
COT,1-Jan,50
COT,1-Feb,75
COT,1-Jun,75
COT,1-Jul,50
COT,31-Dec,50
FAL,1-Jan,50
FAL,1-Feb,50
FAL,1-Apr,80
FAL,1-Sep,200
FAL,16-Oct,50
FAL,31-Dec,50
LOP,1-Jan,1200
LOP,31-Dec,1200
HCR,1-Jan,400
HCR,31-Dec,400
