Date,Big Cliff-Pool Flow-IN,Big Cliff-Pool Flow-OUT,Big Cliff-Pool Elev,Blue River-Pool Flow-IN,Blue River-Pool Flow-OUT,Blue River-Pool Elev,Cottage Grove-Pool Flow-IN,Cottage Grove-Pool Flow-OUT,Cottage Grove-Pool Elev,Cougar-Pool Flow-IN,Cougar-Pool Flow-OUT,Cougar-Pool Elev,Detroit-Pool Flow-IN,Detroit-Pool Flow-OUT,Detroit-Pool Elev,Dexter-Pool Flow-IN,Dexter-Pool Flow-OUT,Dexter-Pool Elev,Dorena-Pool Flow-IN,Dorena-Pool Flow-OUT,Dorena-Pool Elev,Fall Creek-Pool Flow-IN,Fall Creek-Pool Flow-OUT,Fall Creek-Pool Elev,Fern Ridge-Pool Flow-IN,Fern Ridge-Pool Flow-OUT,Fern Ridge-Pool Elev,Foster-Pool Flow-IN,Foster-Pool Flow-OUT,Foster-Pool Elev,Green Peter-Pool Flow-IN,Green Peter-Pool Flow-OUT,Green Peter-Pool Elev,Hills Creek-Pool Flow-IN,Hills Creek-Pool Flow-OUT,Hills Creek-Pool Elev,Lookout Point-Pool Flow-IN,Lookout Point-Pool Flow-OUT,Lookout Point-Pool Elev
2012-12-30,0.0,0.0,1197.0,389.5,0.0,1180.0,447.6000061035156,0.0,750.0,660.0,0.0,1532.0,1730.0,0.0,1450.0,0.0,0.0,693.0,922.5999755859375,0.0,770.5,720.7999877929688,0.0,728.0,970.1640014648438,0.0,353.0,1574.2020263671875,0.0,613.0,1320.0,0.0,922.0,1130.0,0.0,1448.0,1966.532958984375,0.0,825.0
2012-12-31,0.0,0.0,1197.0,315.20001220703125,0.0,1180.0,383.29998779296875,0.0,750.0,590.0,0.0,1532.0,1620.0,0.0,1450.0,0.0,0.0,693.0,740.2999877929688,0.0,770.5,576.5999755859375,0.0,728.0,836.822998046875,0.0,353.0,1326.384033203125,0.0,613.0,1150.0,0.0,922.0,1030.0,0.0,1448.0,1780.5030517578125,0.0,825.0
2013-01-01,1200.0,1200.0,1197.0,283.79998779296875,283.79998779296875,1180.0,339.0,339.0,750.0,570.0,570.0,1532.0,1530.0,1200.0,1450.385009765625,1621.2933349609375,1621.2933349609375,693.0,635.4000244140625,635.4000244140625,770.5,473.5,427.0361022949219,728.1923828125,734.8629760742188,700.0,353.0624694824219,1833.3753662109375,1833.3753662109375,613.0,1090.0,1090.0,922.0,930.0,930.0,1448.0,1621.2933349609375,1621.2933349609375,825.0
2013-01-02,1200.0,1200.0,1197.0,256.70001220703125,256.70001220703125,1180.0,295.6000061035156,295.6000061035156,750.0,520.0,520.0,1532.0,1500.0,1200.0,1450.735107421875,1663.574951171875,1663.574951171875,693.0,582.0999755859375,582.0999755859375,770.5,414.0,403.69073486328125,728.235107421875,640.7760009765625,605.9556884765625,353.1248779296875,2267.02099609375,2267.02099609375,613.0,1010.0,1010.0,922.0,860.0,860.0,1448.0,1663.574951171875,1663.574951171875,825.0
2013-01-03,1200.0,1200.0,1197.0,243.0,243.0,1180.0,267.20001220703125,267.20001220703125,750.0,500.0,500.0,1532.0,1420.0,1200.0,1450.99169921875,2130.24267578125,2130.24267578125,693.0,603.2000122070312,603.2000122070312,770.5,368.3999938964844,392.3271484375,728.135986328125,581.5910034179688,568.4442138671875,353.14801025390625,1690.9014892578125,1690.9014892578125,613.0,910.0,910.0,922.0,800.0,800.0,1448.0,2130.24267578125,2130.24267578125,825.0
2013-01-04,1200.0,1200.0,1197.0,254.39999389648438,254.39999389648438,1180.0,250.3000030517578,250.3000030517578,750.0,470.0,470.0,1532.0,1380.0,1200.0,1451.1905517578125,2214.524169921875,2214.524169921875,693.0,629.2999877929688,629.2999877929688,770.5,357.0,389.8459777832031,728.0,535.7969970703125,535.9658203125,353.14703369140625,2163.83984375,2163.83984375,613.0,1000.0,1000.0,922.0,810.0,810.0,1448.0,2315.095703125,2214.524169921875,825.094970703125
2013-01-05,1200.0,1200.0,1197.0,279.3999938964844,279.3999938964844,1180.0,239.89999389648438,239.89999389648438,750.0,520.0,520.0,1532.0,1470.0,1200.0,1451.488037109375,2126.165283203125,2126.165283203125,693.0,685.7000122070312,685.7000122070312,770.5,369.6000061035156,369.6000061035156,728.0,493.79400634765625,507.2766418457031,353.1219177246094,1767.81591796875,1767.81591796875,613.0,1010.0,1010.0,922.0,870.0,870.0,1448.0,2025.593994140625,2126.165283203125,825.0
2013-01-06,1200.0,1200.0,1197.0,366.29998779296875,366.29998779296875,1180.0,230.89999389648438,230.89999389648438,750.0,460.0,460.0,1532.0,1420.0,1200.0,1451.73046875,2277.6748046875,2277.6748046875,693.0,678.2999877929688,678.2999877929688,770.5,394.6000061035156,394.6000061035156,728.0,471.385009765625,485.3164978027344,353.09600830078125,2105.688232421875,2105.688232421875,613.0,1020.0,1020.0,922.0,890.0,890.0,1448.0,2277.6748046875,2277.6748046875,825.0
2013-01-07,1200.0,1200.0,1197.0,735.0999755859375,735.0999755859375,1180.0,234.8000030517578,234.8000030517578,750.0,720.0,720.0,1532.0,1780.0,1200.0,1452.391357421875,2578.03076171875,2578.03076171875,693.0,810.0999755859375,810.0999755859375,770.5,570.2999877929688,570.2999877929688,728.0,450.2749938964844,479.7447204589844,353.0419616699219,3576.69384765625,3576.69384765625,613.0,2370.0,2370.0,922.0,1000.0,1000.0,1448.0,2578.03076171875,2578.03076171875,825.0
2013-01-08,1200.0,1200.0,1197.0,1204.0999755859375,1000.0,1182.97705078125,258.5,258.5,750.0,960.0,960.0,1532.0,2860.0,1200.0,1454.25439453125,3253.504150390625,3253.504150390625,693.0,1140.5,1140.5,770.5,804.4000244140625,804.4000244140625,728.0,441.7720031738281,464.567626953125,353.0,6403.49072265625,6403.49072265625,613.0,4060.0,4060.0,922.0,1290.0,1000.0,1448.3594970703125,3253.504150390625,3253.504150390625,825.0
