DATE,DET,GPR,FOS,CGR,BLU,FAL,HCR,LOP,DOR,FRN,COT
01Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
02Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
03Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
04Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
05Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
06Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
07Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
08Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
09Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
10Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
11Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
12Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
13Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
14Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
15Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
16Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
17Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
18Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
19Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
20Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
21Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
22Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
23Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
24Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
25Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
26Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
27Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
28Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
29Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
30Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
31Jan2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
01Feb2025  0800,1450.0,922.0,613.00,1532.0,1180.0,728.00,1448.0,825.00,770.50,353.00,750.00
02Feb2025  0800,1452.8,924.1,613.28,1536.3,1188.9,731.41,1450.1,827.50,770.50,354.15,750.89
03Feb2025  0800,1455.5,926.1,613.56,1540.5,1195.9,734.59,1452.1,829.91,771.60,355.07,751.73
04Feb2025  0800,1458.2,928.1,613.84,1544.5,1202.8,737.58,1454.3,832.26,772.81,355.85,752.53
05Feb2025  0800,1460.8,930.0,614.11,1548.3,1209.3,740.41,1456.4,834.56,773.84,356.54,753.30
06Feb2025  0800,1463.4,931.9,614.39,1552.1,1215.1,743.14,1458.4,836.81,775.01,357.16,754.03
07Feb2025  0800,1465.9,933.8,614.67,1555.9,1220.4,745.77,1460.5,839.02,776.02,357.74,754.73
08Feb2025  0800,1468.3,935.6,614.95,1559.5,1225.4,748.31,1462.6,841.19,777.02,358.27,755.40
09Feb2025  0800,1470.8,937.4,615.23,1563.0,1230.0,750.76,1464.7,843.31,778.02,358.76,756.06
10Feb2025  0800,1473.1,939.2,615.51,1566.4,1234.6,753.12,1466.8,845.39,779.02,359.22,756.69
11Feb2025  0800,1475.5,941.0,615.78,1569.8,1238.9,755.42,1468.9,847.43,780.02,359.66,757.29
12Feb2025  0800,1477.8,942.7,616.06,1573.1,1242.9,757.64,1470.9,849.45,780.88,360.08,757.88
13Feb2025  0800,1480.1,944.4,616.34,1576.4,1246.8,759.79,1473.1,851.42,781.87,360.48,758.45
