"# In the Columbia Basin, every agency and group has a slightly different naming convention",,,,,,,,,,,
# This file is the definitive source to lookup naming conventions,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,
"#For natural lakes (e.g. Arrow), put the lake elevation gage in the ""CBT_Code_Lake"" field, e.g. QBYB",,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,
ORDER_ID,POINT_TYPE,MODIFIED_FLOW_CODE,CBT_CODE,CBT_NAME,CBT_CODE_LAKE,RESSIM_NAME,NWRFC_CODE,USGS_CODE,USGS_NAME,HYDSIM_PROJECT_CODE,NOTES
1,Reservoir,MCD,MCDB,Mica Dam,,Mica,MCDQ2,,,1890,
2,Junction,,ILLB,Illecillewaet R @ Greeley,,,,,,,
3,Reservoir,RVC,REVB,Revelstoke Dam,,Revelstoke,REVQ2,,,1870,
4,Junction,,NAKB,Arrow Res @ Nakusp,,,,,,,
5,Junction,,FQRB,Arrow Res nr Fauquier,,,,,,,
6,Reservoir,ARD,ARDB,Arrow Dam,FQRB,Arrow Lakes,ARDQ2,,,1831,
7,Junction,,FSTB,Kootenay River at Fort Steele,,,,,,,
8,Reservoir,LIB,LIB,Libby Dam Near Libby,,Libby,LYDM8,,,1760,
9,Junction,LIB,LIB,Libby Dam Near Libby,,Libby,KBDM8,12301933,Kootenai River bl Libby Dam nr Libby MT            ,,
10,Junction,,FISM,Fisher River Near Libby 11E,,Kootenai+Fisher,FISM8,12302055,Fisher River near Libby MT                         ,,
11,Junction,,TRYM,Yaak River Near Troy 8NW,,Kootenai+Yaak,TRYM8,12304500,Yaak River near Troy MT                            ,,
12,Junction,,LEOI,Kootenai River At Leonia,,,LEOI1,12305000,Kootenai River at Leonia ID                        ,,
13,Junction,,EASI,MOYIE RIVER AT EASTPORT,,,EASI1,12306500,Moyie River at Eastport ID,,
14,Junction,,KRMI,Kootenai R Blw Moyie Riv,,Kootenai+Moyie,KRMI1,12308000,Kootenai River Bel Moyie River nr Bonners Ferry ID ,,
15,Junction,BFE,BFEI,Kootenai River At Bonners Ferry,,Bonners Ferry,BFEI1,12309500,Kootenai River at Bonners Ferry ID                ,1740,
16,Junction,,PORI,Kootenai River at Porthill,,,,12322000,Kootenai River at Porthill ID,,
17,Reservoir,DCD,DCDB,Duncan Dam,,Duncan,DCDQ2,,,1681,
18,Junction,,DBLB,Duncan R blw Lardeau R,,,,,,,
19,Junction,,SSLB,Kootenay R @ Nelson,,,,,,,
20,Reservoir,COR,QBYB,Kootenay R @ Cora Linn,QBYB,Corra Linn,QBYQ2,,,1665,"CBT_CODE can be CORB for the forebay, but typically QBYB is used."
21,Reservoir,UBN,UBN,,,Upper Bonnington,,,,1663,
22,Reservoir,LBN,LBN,,,Lower Bonnington,,,,1660,
23,Reservoir,SLO,SLO,,,Slocan,,,,1658,
24,Junction,,SLCB,Slocan R nr Crescent Valley,,,SLCQ2,,,,
25,Reservoir,BRI,BRDB,Kootenay R @ Brilliant,,Brilliant,BRDQ2,,,1652,
