"LOCATION_ID","PUBLIC_NAME","LONG_NAME"
"07S","Deer Park Airport","Deer Park Airport"
"21B10","Stampede Pass","STAMPEDE PASS"
"21B17","Rex River","REX RIVER"
"21B31","Sawmill Ridge","SAWMILL RIDGE"
"21B42","Cougar Mountain","COUGAR MOUNTAIN"
"21B50","Lynn Lake","LYNN LAKE"
"27U","Salmon","Salmon"
"2A01","Canoe R 2A01","CANOE RIVER"
"2A01A","Canoe R 2A02A","CANOE RIVER"
"2A02","Glacier 2A02","GLACIER"
"2A02A","New Glacier 2A02A","NEW GLACIER"
"2A03","Field 2A03","FIELD"
"2A03A","Field 2A03A","FIELD"
"2A04","Invermere 2A04","INVERMERE"
"2A04A","Invermere 2A04A","INVERMERE"
"2A05","Kinbasket Lake","KINBASKET LAKE"
"2A06","Mount Revelstoke 2A06","MOUNT REVELSTOKE"
"2A06P","Mount Revelstoke 2A06P","MOUNT REVELSTOKE"
"2A07","Kicking Horse 2A07","KICKING HORSE"
"2A08","Middle R","MIDDLE RIVER"
"2A09","Blackwater Lookout 2A09","BLACKWATER LOOKOUT"
"2A10","Blackwater Cr 2A10","BLACKWATER CREEK"
"2A11","Beaverfoot 2A11","BEAVERFOOT"
"2A12","Bigmouth Cr","BIGMOUTH CREEK"
"2A13","Wood R 2A13","WOOD RIVER"
"2A14","Mount Abbot 2A14","MOUNT ABBOT"
"2A15","Mica Cr 2A15","MICA CREEK"
"2A16","Goldstream 2A16","GOLDSTREAM"
"2A17","Fidelity Mtn 2A17","FIDELITY MOUNTAIN"
"2A18","Keystone Cr","KEYSTONE CREEK"
"2A19","Vermont Cr 2A19","VERMONT CREEK"
"2A20","Watam Lake 2A20","WATAM LAKE"
"2A21","Molson Cr 2A21","MOLSON CREEK"
"2A21P","Molson Cr 2A21P","MOLSON CREEK"
"2A22","Sunbeam Lake 2A22","SUNBEAM LAKE"
"2A23","Bush R 2A23","BUSH RIVER"
"2A24","Mount Copeland","MOUNT COPELAND"
"2A25","Kirbyville Lake 2A25","KIRBYVILLE LAKE"
"2A26","Bugaboo Cr 2A26","BUGABOO CREEK"
"2A27","Downie Slide - Lower","DOWNIE SLIDE (LOWER)"
"2A28","Downie S8 - 2A28","DOWNIE(S8)"
"2A29","Downie Slide - Upper","DOWNIE SLIDE (UPPER)"
"2B01","Revelstoke 2B01","REVELSTOKE"
"2B02","Farron 2B02","FARRON"
"2B02A","Farron  2B02A","FARRON"
"2B05","Whatshan (Upper) 2B05","WHATSHAN (UPPER)"
"2B06","Barnes Cr 2B06","BARNES CREEK"
"2B06P","Barnes Cr 2B06P","BARNES CREEK"
"2B07","Koch Cr 2B07","KOCH CREEK"
"2B08","St. Leon Cr 2B08","ST. LEON CREEK"
"2B08P","St. Leon Cr 2B08P","ST. LEON CREEK"
"2C01","Sinclair Pass 2C01","SINCLAIR PASS"
"2C02","Fernie 2C02","FERNIE"
"2C02A","Fernie NE 2C02A","FERNIE (NE)"
"2C03","Kimberley 2C03","KIMBERLEY"
"2C03A","Kimberley 2C03A","KIMBERLEY"
"2C04","Sullivan Mine 2C05","SULLIVAN MINE"
"2C05","Marble Canyon 2C05","MARBLE CANYON"
"2C07","Fernie E 2C07","FERNIE EAST"
"2C08","Fernie Ridge 2C08","FERNIE RIDGE"
"2C09","Morrissey Ridge No 1","MORRISSEY RIDGE NO. 1"
"2C09A","Morrissey Ridge 2C09A","MORRISSEY RIDGE"
"2C09Q","Morrissey Ridge 2C09Q","MORRISSEY RIDGE"
"2C10","Moyie Mtn 2C10","MOYIE MOUNTAIN"
"2C10P","Moyie Mtn 2C10P","MOYIE MOUNTAIN"
"2C11","Kimberley Upper V O R","KIMBERLEY (UPPER) V O R"
"2C12","Kimberley Middle V O R","KIMBERLEY (MIDDLE)V O R"
"2C13","Kimberley Lower V O R","KIMBERLEY (LOWER) V O R"
"2C14","Floe Lake 2C14","FLOE LAKE"
"2C14P","Floe Lake 2C14P","FLOE LAKE"
"2C15","Mount Assiniboine 2C15","MOUNT ASSINIBOINE"
"2C16","Mount Joffre 2C16","MOUNT JOFFRE"
"2C17","Thunder Cr 2C17","THUNDER CREEK"
"2C18","Vermilion R No 1","VERMILION RIVER NO.1"
"2C19","Vermilion R No 2","VERMILION RIVER NO.2"
"2C20","Vermilion R No 3","VERMILION RIVER NO.3"
"2C21","Vermilion R No 4","VERMILION RIVER NO.4"
"2C22","Vermilion R No 5","VERMILION RIVER NO.5"
"2D01","Gerrard 2D01","GERRARD"
"2D02","Ferguson 2D02","FERGUSON"
"2D03","Sandon 2D03","SANDON"
"2D04","Nelson 2D04","NELSON"
"2D05","Gray Creek Lower 2D05","GRAY CREEK (LOWER)"
"2D06","Char Cr 2D06","CHAR CREEK"
"2D07","Duncan Lake 2D07","DUNCAN LAKE"
"2D07A","Duncan Lake No 2","DUNCAN LAKE NO. 2"
"2D08","East Cr 2D08","EAST CREEK"
"2D08P","East Cr 2D08P","EAST CREEK"
"2D09","Mount Templeman","MOUNT TEMPLEMAN"
"2D10","Gray Creek Upper 2D10","GRAY CREEK (UPPER)"
"2D11","Arrow Cr 2D11","ARROW CREEK"
"2D12","Harlow Cr 2D12","HARLOW CREEK"
"2D13","Meadow Mtn 2D13","MEADOW MOUNTAIN"
"2D14P","Redfish Cr 2D14P","REDFISH CREEK"
"3TH","Thompson Falls Weather","Thompson Falls Weather"
"4BK","Brookings Weather","Brookings Weather"
"4BQ","4BQ",""
"4LW","Lakeview 4LW","Lakeview"
"4S1","4S1",""
"4SV","",""
"5J0","Grant County Regional Airport","Grant County Regional Airport"
"63S","Colville Airport 63S","Colville Airport"
"75S","Skagit Regional Airport 75S","Skagit Regional Airport"
"92S","Cape Blanco Weather Station 92S","Cape Blanco Weather Station"
"95S","95S",""
"9BB","",""
"ABDI","Aberdeen","Aberdeen"
"ABDW","Aberdeen","Aberdeen"
"ABEB","Aberfeldie","Aberfeldie"
"ABEI","Aberdeen Station","Aberdeen Station (See Also Abdi)"
"ABEW","Aberdeen Precip Gage","ABERDEEN PRECIP GAGE"
"ABNW","Abernathy Mt RAWS nr Ryderwood","Abernathy Mountain RAWS near Ryderwood 3SW"
