,,,,,BPA Tab Names,Qi,Qo,SE,Elev,SI,URCcont,URCft,Gen,Spill,Qbpf,SpillTot,SpillOth
,,,,,BPA Abbrevs,QIN,QOUT,ENDSTO,ENDELEV,INISTO,URC,URCFT,AVGEN,TOTSPILL,QBPF,TOTSPILL,OTHSPILL
,,,,,ResSim Abbrev.,FLOW-IN,FLOW-OUT,STOR,ELEV,,,ELEV-URC FCST,POWER,FLOW-SPILL,,FLOW-SPILL,
HydSim Code,HydSim abbrev,BPA 3-Dig code (tab names),ResSim Name,USACE Abbrev.,Datum Shift,,,,,,,,,,,,
1465,ALBENI,ALF,Albeni Falls,ALF,3.9,,,,,,,,,,,,
1831,ARROW ,ARR,Arrow Lakes,ARDB,4.3,,,,,,,,,,,,
320,BONN  ,BON,Bonneville,BON,3.3,,,,,,,,,,,,
1450,BOUND ,,Boundary,BDY,4,,,,,,,,,,,,
1460,BOX C ,,Box Canyon,BOX,4,,,,,,,,,,,,
1652,BRILL ,BRL,Brilliant,BRI,4.2,,,,,,,,,,,,
767,BRNLEE,BRN,Brownlee,BRN,3.3,,,,,,,,,,,,
1475,CAB G ,,Cabinet Gorge,CAB,3.9,,,,,,,,,,,,
1341,CDA LK,,Lake Coeur d'Alene,,3.8,,,,,,,,,,,,
1210,CHELAN,,Chelan,CHL,3.9,,,,,,,,,,,,
1270,CH JOE,CHJ,Chief Joseph,CHJ,4,,,,,,,,,,,,
1520,COLFLS,COL,Columbia Falls,,,,,,,,,,,,,,
1665,CORA L,QBY,Corra Linn,CORB,4.3,,,,,,,,,,,,
1681,DUNCAN,DCN,Duncan,DCDB,4.3,,,,,,,,,,,,
535,DWRSHK,DWR,Dworshak,DWR,3.3,,,,,,,,,,,,
1280,COULEE,GCL,Grand Coulee,GCL,3.9,,,,,,,,,,,,
762,HELL C,,Hells Canyon,HCD,3.6,,,,,,,,,,,,
1530,H HORS,HGH,Hungry Horse,HGH,3.9,,,,,,,,,,,,
502,ICE H ,IHR,Ice Harbor,IHR,3.4,,,,,,,,,,,,
440,J DAY ,JDA,John Day,JDA,3.2,,,,,,,,,,,,
1510,KERR  ,,SKQ,KER,3.6,,,,,,,,,,,,
1664,CANAL,CAN,Kootenai Canal,,,,,,,,,,,,,,
1760,LIBBY ,LIB,Libby,LIB,3.9,,,,,,,,,,,,
1302,L FALL,,Little Falls,LFL,3.8,,,,,,,,,,,,
518,L GOOS,LGS,Little Goose,LGS,3.2,,,,,,,,,,,,
1305,LONG L,,Long Lake,LLK,3.8,,,,,,,,,,,,
1660,LO BON,LwB,Lower Bonnington,LBN,4.2,,,,,,,,,,,,
520,LR.GRN,LWG,Lower Granite,LWG,3.4,,,,,,,,,,,,
504,LR MON,LMN,Lower Monumental,LMN,3.3,,,,,,,,,,,,
488,MCNARY,MCN,McNary,MCN,3.3,,,,,,,,,,,,
1890,MICA  ,MCA,Mica,MCDB,4.7,,,,,,,,,,,,
1330,MON ST,,Monroe Street,MON,3.8,,,,,,,,,,,,
1315,NINE M,,Nine Mile,NIN,3.8,,,,,,,,,,,,
1480,NOXON ,,Noxon Rapids,NOX,3.9,,,,,,,,,,,,
765,OXBOW ,,Oxbow,OXB,3.4,,,,,,,,,,,,
388,PELTON,,Pelton,PEL,3.6,,,,,,,,,,,,
387,REREG ,,Pelton ReReg,RER,3.5,,,,,,,,,,,,
1341,POST F,,Post Falls,PFL,3.8,,,,,,,,,,,,
1470,PRST L,,Priest Lake,PSL,4,,,,,,,,,,,,
1160,PRIEST,PRD,Priest Rapids,PRD,3.5,,,,,,,,,,,,
1870,REVELS,REV,Revelstoke,RVCB,4.5,,,,,,,,,,,,
1170,ROCK I,RKI,Rock Island,RIS,3.7,,,,,,,,,,,,
1200,R RECH,RRC,Rocky Reach,RRH,3.8,,,,,,,,,,,,
390,RND B ,,Round Butte,ROU,3.6,,,,,,,,,,,,
1442,7-MILE,7Mi,Seven Mile,SEV,4.1,,,,,,,,,,,,
1658,S SLOC,SLO,Slocan,SLO,4.2,,,,,,,,,,,,
0,SYSTEM,SYS,System,,,,,,,,,,,,,,
365,DALLES,TDA,The Dalles,TDA,3.3,,,,,,,,,,,,
1490,THOM F,,Thompson Falls,TOM,3.8,,,,,,,,,,,,
1663,UP BON,UpB,Upper Bonnington,UBN,4.2,,,,,,,,,,,,
1332,UP FLS,,Upper Falls,UPF,3.8,,,,,,,,,,,,
1165,WANAP ,WAN,Wanapum,WAN,3.5,,,,,,,,,,,,
1440,WANETA,WNT,Waneta,WAT,4,,,,,,,,,,,,
1220,WELLS ,WEL,Wells,WEL,4,,,,,,,,,,,,
