# In the Columbia Basin every agency and group has a slightly different naming convention,,,,,,,,,,,,,,,,,,
# This file is THE definitive source to lookup naming conventions,,,,,,,,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,,,,,,,,
OrderID,Modified_Flow_Code,CBT_Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name,,ResvOrderID,Modified Flow Code,CBT Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name
1,,ILLB,Illecillewaet R @ Greeley,,,,,,,1,MCD,MCDB,Mica Dam,,Mica,MCDQ2,,
2,,NAKB,Arrow Res @ Nakusp,,,,,,,2,RVC,REVB,Revelstoke Dam,,Revelstoke,REVQ2,,
3,,FQRB,Arrow Res nr Fauquier,,,,,,,3,ARD,ARDB,Arrow Dam,FQRB,Arrow Lakes,ARDQ2,,
4,,FSTB,Kootenay River at Fort Steele,,,,,,,4,LIB,LIB,Libby Dam Near Libby,,Libby,LYDM8,,
5,LIB,LIB,Libby Dam Near Libby,,Libby,KBDM8,12301933,Kootenai River bl Libby Dam nr Libby MT            ,,5,DCD,DCDB,Duncan Dam,,Duncan,DCDQ2,,
6,,FISM,Fisher River Near Libby 11E,,Kootenai+Fisher,FISM8,12302055,Fisher River near Libby MT                         ,,6,COR,CORB,Kootenay R @ Cora Linn,QBYB,Corra Linn,QBYQ2,,
7,,TRYM,Yaak River Near Troy 8NW,,Kootenai+Yaak,TRYM8,12304500,Yaak River near Troy MT                            ,,7,UBN,UBN,,,Upper Bonnington,,,
8,,LEOI,Kootenai River At Leonia,,,LEOI1,12305000,Kootenai River at Leonia ID                        ,,8,LBN,LBN,,,Lower Bonnington,,,
9,,KRMI,Kootenai R Blw Moyie Riv,,Kootenai+Moyie,KRMI1,12308000,Kootenai River Bel Moyie River nr Bonners Ferry ID ,,9,SLO,SLO,,,Slocan,,,
10,BFE,BFEI,Kootenai River At Bonners Ferry,,Bonners Ferry,BFEI1,12309500,Kootenai River at Bonners Ferry ID                ,,10,BRI,BRDB,Kootenay R @ Brilliant,,Brilliant,BRDQ2,,
13,,DBLB,Duncan R blw Lardeau R,,,,,,,11,HGH,HGH,Hungry Horse Dam nr Hungry Horse,,Hungry Horse,HHWM8,12362000,Hungry Horse Reservoir nr Hungry Horse MT
14,,SSLB,Kootenay R @ Nelson,,,,,,,12,KER,KERM,SKQ Dam,KERM,SKQ,KERM8,12371550,Flathead Lake at Polson MT
15,,SLCB,Slocan R nr Crescent Valley,,,SLCQ2,,,,13,TOM,TOM,Thompson Falls Dam,,Thompson Falls,,,
16,MUC,BIRB,Columbia R @ Birchbank,,Birchbank,BIRQ2,,,,14,NOX,NOX,Noxon Dam,,Noxon Rapids,NOXM8,,
17,HGH,HGH,Hungry Horse Dam nr Hungry Horse,,Hungry Horse,SFCM8,12362500,S F Flathead River nr Columbia Falls MT         ,,15,CAB,CAB,Cabinet Gorge Dam,,Cabinet Gorge,CABI1,,
18,,WGCM,Middle Frk Flathd R nr W Glacier,,,WGCM8,12358500,M F Flathead River near West Glacier MT         ,,16,PSL,PSL,,,Priest Lake,,,
19,,FCFM,N Frk Flathd R nr Columbia Falls,,,FCFM8,12355500,N F Flathead River nr Columbia Falls MT         ,,17,ALF,ALF,Albeni Falls Dam,HOPI,Albeni Falls,ALFW1,,
20,CFM,CFMM,Flathead River At Columbia Falls,,Columbia Falls,CFMM8,12363000,Flathead River at Columbia Falls MT             ,,18,BOX,BOX,Box Canyon Dam,,Box Canyon,,,
21,,SRLM,Stillwater R @ Lawrence Park,,,SRLM8,12365700,Stillwater River at Lawrence Park at Kalispell,,19,BDY,BDY,Boundary Dam,,Boundary,,,
22,,WFRM,Whitefish R @ mouth @ Kalispell,,,WFRM8,12366080,Whitefish River nr mouth at Kalispell MT,,20,SEV,SEVB,Seven Mi Dam,,Seven Mile,,,
23,,FRBM,,,,,12369000,Flathead River near Bigfork MT,,21,WAT,WANB,Waneta Dam on Pend Oreille R,,Waneta,WANQ2,,
24,,SWRM,Swan R nr Bigfork 5SE,,,SWRM8,12370000,Swan River near Bigfork MT                     ,,22,COE,COEI,Cour D'Alene Lk @ Coeur D'Alene,COEI,Post Falls,COEI1,12415500,COEUR D ALENE LAKE AT COEUR D ALENE ID              
25,KER,KERM,SKQ Dam,,SKQ,FPOM8,12372000,Flathead River near Polson MT                   ,,23,UPF,UPF,,,Upper Falls,,,
26,,PERM,Flathead R @ Perma near Dixon,,,PERM8,12388700,Flathead River at Perma MT ,,24,MON,MON,,,Monroe Street,,,
27,,SRGM,Clark Fork R near Saint Regis,,Clark Fork+Flathead,SRGM8,12354500,Clark Fork at St. Regis MT                          ,,25,NIN,NIN,,,Nine Mile,,,
28,,PLNM,Clark Fork River Near Plains 2SE,,Clark Fork_at Plains,PLNM8,12389000,Clark Fork near Plains MT                           ,,26,LLK,LLK,Long Lake Dam,,Long Lake,LLKW1,,
29,,THRM,Thompson R nr Thompson Falls Mt,,Clark Fork+Thompson,THRM8,12389500,Thompson River near Thompson Falls MT,,27,LFL,LFL,,,Little Falls,,,
30,,CFLI,Lightning Cr @ Clark Fk,,Clark Fork+Lightning Ck,LTCI1,12392155,Lightning Creek at Clark Fork ID,,28,GCL,GCL,Grand Coulee Dam,,Grand Coulee,GCDW1,,
31,,PSLI,Priest River nr Coolin,,,,12394000,Priest River nr Coolin ID                          ,,29,CHJ,CHJ,Chief Joseph Dam,,Chief Joseph,CHJW1,,
32,,PRTI,Priest River Near Priest 3N,,Pend Oreille+Priest,PRTI1,12395000,Priest River nr Priest River ID                     ,,30,WEL,WEL,Wells Dam,,Wells,WELW1,,
33,ALF,ALF,Albeni Falls Dam,,Albeni Falls,,12395500,Pend Oreille River at Newport WA                    ,,31,CHL,CHL,Chelan Dam,,Chelan,CHDW1,,
34,BOX,BOX,Box Canyon Dam,,Box Canyon,,12396500,Pend Oreille River below Box Canyon near Ione WA    ,,32,RRH,RRH,Rocky Reach Dam,,Rocky Reach,RRHW1,,
35,,CIBW,Columbia River at Int'l Boundary,,,CIBW1,12399500,Columbia River at International Boundary            ,,33,RIS,RIS,Rock Island Dam,,Rock Island,RISW1,,
36,,LAUW,Kettle River Near Laurier 1sE,,Columbia+Kettle,LAUW1,12404500,Kettle River near Laurier WA                       ,,34,WAN,WAN,Wanapum Dam,,Wanapum,WANW1,,
37,PFL,COEI,Cour D'Alene Lk @ Coeur D'Alene,,Post Falls,PTFI1,12419000,Spokane River nr Post Falls ID                      ,,35,PRD,PRD,Priest Rapids Dam,,Priest Rapids,PRWW1,,
38,,SPOW,Spokane River At Spokane,,,SPOW1,12422500,Spokane River at Spokane WA,,36,,KEE,Keechelus Dam & Lk on Yakima R,,Keechelus,KEDW1,,
39,,HAGW,Hangman Creek At Spokane,,,HAGW1,12424000,Hangman Creek at Spokane WA,,37,,KAC,Lake Kachess - KAC,,Kachess,KADW1,,
40,,LSDW,Little Spokane R @ Dartfort,,,LSDW1,12431000,Little Spokane River at Dartford WA,,38,,CLE,Cle Elum Dam & Lk on Cle Elum,,Cle Elum,CLUW1,,
41,,KTFW,Colville River At Kettle Falls,,,KTFW1,12409000,Colville River at Kettle Falls WA,,39,,BUM,Bumping Dam & Lk on Bumping R,,Bumping Lake,BUDW1,,
42,FDR,BNK,Banks Lake nr Grand Coulee,,Banks Lake,BNKW1,,,,40,,RIM,Tieton Dam & Rimrock Lk,,Tieton,RILW1,,
43,,OKMW,Okanogan River At Malott,,Columbia+Okanogan,OKMW1,12447200,Okanogan River at Malott WA                         ,,41,,JCK,Snake R On Jackson Lk @ Dam,,Jackson Lake,JLKW4,,
44,,PATW,Methow River Near Pateros 4NW,,Columbia+Methow,PATW1,12449950,Methow River near Pateros WA                        ,,42,,PAL,Palisades Dam near Irwin,,Palisades,PLDI1,,
45,,STHW,Stehekin River Near Stehekin 2NW,,,STHW1,12451000,Stehekin River at Stehekin WA,,43,,AMF,American Falls Res nr Am Fls,,American Falls,AFRI1,,
46,,ARDW,Entiat R nr Ardenvoir 6NW,,,ARDW1,12452800,Entiat River nr Ardenvoir WA,,44,,OWY,Lk Owhee&Owyhee R nr Adrian,,Owyhee,OWYO3,,
47,,PESW,Wenatchee R near Peshastin 1NNW,,,PESW1,12459000,Wenatchee River at Peshastin WA,,45,,AND,Anderson Ranch Dam nr Mtn Home,,Anderson Ranch,ARAI1,,
48,,MONW,Wenatchee River Near Monitor 1N,,Columbia+Wenatchee,MONW1,12462500,Wenatchee River at Monitor WA                       ,,46,,ARK,Arrowrock Dam,,Arrowrock,ARKI1,,
49,PRD,PRD,Priest Rapids Dam,,Priest Rapids,PRDW1,12472800,Columbia River Below Priest Rapids Dam WA           ,,47,,LUC,Lucky Peak Dam,,Lucky Peak,LUCI1,,
50,,UMTW,Yakima River At Umtanum,,Yakima_at Umtanum,UMTW1,12484500,YAKIMA RIVER AT UMTANUM WA                          ,,48,,DED,Deadwood Res near Lowman,,Deadwood,DEDI1,,
