file,runsUnder,module,root,category,imports,line,optional
Plots_Jython/NonExceedancePlots.py,cpython,DBAPI,DBAPI,cpython-only,,38,no
Plots_Jython/Willamett_Conservation System Storage.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
Plots_Jython/Willamett_Conservation plots_ McKenzieAndBelowAndFlows.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
Plots_Jython/Willamett_Conservation plots_ McKenzieAndBelowForTesting.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
Plots_Jython/Willamett_Conservation plots_FRNandAbove.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
Plots_Jython/Willamett_Conservation plots_FRNandAboveForTesting.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
Plots_Jython/Willamett_Conservation plots_ForTesting.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
Plots_Jython/Willamett_FRM plots_ McKenzieAndBelowAndFlows.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
Plots_Jython/Willamett_FRM plots_FRNandAbove.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
RealtimeData/EstimateMissingValues.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
RealtimeData/Replace_Zero_Outflows.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
Utilities/29_to_88.py,cpython,DBAPI,DBAPI,cpython-only,,29,no
Plots_Jython/MainstemRFC_CP_FCst_Plot.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/NonExceedancePlots.py,cpython,__future__,__future__,cpython-only,with_statement,12,no
Plots_Jython/RFCFlowsCorvall_FCst_Plot.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/RFC_EUG_FCst_Plot.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/WIL_NP_Plot_HMS.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/WIL_PP_Plot_HMS.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/WIL_PP_Plot_RFC.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/WIllamett_COR_FCst_Plot.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_BS_FCst_Plot.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_CP_FCst_Plot.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_Conservation System Storage.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_Conservation plots_ McKenzieAndBelowAndFlows.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_Conservation plots_ McKenzieAndBelowForTesting.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_Conservation plots_FRNandAbove.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_Conservation plots_FRNandAboveForTesting.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_Conservation plots_ForTesting.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_EUG_FCst_Plot.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_FRM plots_ McKenzieAndBelowAndFlows.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_FRM plots_FRNandAbove.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Plots_Jython/Willamett_PP_FCst_Plot.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
RealtimeData/EstimateMissingValues.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
RealtimeData/Replace_Zero_Outflows.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Utilities/29_to_88.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Utilities/88_to_29.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
Utilities/DeleteUnusedIfBlocks.py,cpython,__future__,__future__,cpython-only,with_statement,11,no
Utilities/DeleteUnusedOpSets.py,cpython,__future__,__future__,cpython-only,with_statement,10,no
Utilities/DeleteUnusedRules.py,cpython,__future__,__future__,cpython-only,with_statement,12,no
Utilities/ElevStor_to_CSV.py,cpython,__future__,__future__,cpython-only,with_statement,12,no
Utilities/Flow_Modifier.py,cpython,__future__,__future__,cpython-only,with_statement,15,no
Utilities/Rules_to_CSV.py,cpython,__future__,__future__,cpython-only,with_statement,16,no
Utilities/Save_Scripts.py,cpython,__future__,__future__,cpython-only,with_statement,11,no
Utilities/save_to_sql.py,cpython,__future__,__future__,cpython-only,with_statement,18,no
esp_download/Copy_ESP_to_Forecast_dss.py,cpython,__future__,__future__,cpython-only,with_statement,1,no
esp_download/Download_ESP.py,cpython,__future__,__future__,cpython-only,with_statement,5,no
ExternalPython/MainstemAugmentation.py,cpython,cProfile,cProfile,cpython-only,,28,no
SalemAlbanyAugScript/TwoStepSalemAlbanyAug_19Feb2026.py,cpython,cProfile,cProfile,cpython-only,,28,no
ExternalPython/CWMS_DOWNLOADER_ARCHIVE.py,cpython,cwms,cwms,cpython-only,,18,no
ExternalPython/CWMS_Downloader_Module.py,cpython,cwms,cwms,cpython-only,,19,no
ExternalPython/Dummy_0_and_WY_Abundant_Module.py,cpython,cwms,cwms,cpython-only,,10,no
ExternalPython/ALT_COMPARISON_PLOTS.py,cpython,importlib,importlib,cpython-only,,10,no
ExternalPython/ALT_COMPARISON_PLOTS_ARCHIVE.py,cpython,importlib,importlib,cpython-only,,11,no
ExternalPython/CWMS_DOWNLOADER_ARCHIVE.py,cpython,importlib,importlib,cpython-only,,27,no
ExternalPython/CWMS_Downloader_Module.py,cpython,importlib,importlib,cpython-only,,27,no
ExternalPython/Dummy_0_and_WY_Abundant_Module.py,cpython,importlib,importlib,cpython-only,,18,no
ExternalPython/Ensemble_Plots.py,cpython,importlib,importlib,cpython-only,,10,no
ExternalPython/Ensemble_Plots_Archive.py,cpython,importlib,importlib,cpython-only,,10,no
ExternalPython/Faster_DSS_Read_Plotly.py,cpython,importlib,importlib,cpython-only,,12,no
ExternalPython/MainstemAugmentation.py,cpython,importlib,importlib,cpython-only,,31,no
ExternalPython/OSI_Ensemble_Year.py,cpython,importlib,importlib,cpython-only,,11,no
ExternalPython/RFC_Downloader_Module.py,cpython,importlib,importlib,cpython-only,,15,no
SalemAlbanyAugScript/SalemAugCheckPlots.py,cpython,importlib,importlib,cpython-only,,2,no
SalemAlbanyAugScript/TwoStepSalemAlbanyAug_19Feb2026.py,cpython,importlib,importlib,cpython-only,,31,no
SalemAlbanyAugScript/SalemAugCheckPlots.py,cpython,matplotlib.pyplot,matplotlib,cpython-only,,7,no
ExternalPython/Ensemble_Plots_Paralell.py,cpython,multiprocessing,multiprocessing,cpython-only,,173,yes
ExternalPython/ALT_COMPARISON_PLOTS.py,cpython,numpy,numpy,cpython-only,,5,no
ExternalPython/ALT_COMPARISON_PLOTS_ARCHIVE.py,cpython,numpy,numpy,cpython-only,,5,no
ExternalPython/APE_Plotter.py,cpython,numpy,numpy,cpython-only,,5,no
ExternalPython/APE_Plotter_3.py,cpython,numpy,numpy,cpython-only,,5,no
ExternalPython/CWMS_DOWNLOADER_ARCHIVE.py,cpython,numpy,numpy,cpython-only,,14,no
ExternalPython/CWMS_Downloader_Module.py,cpython,numpy,numpy,cpython-only,,15,no
ExternalPython/Dummy_0_and_WY_Abundant_Module.py,cpython,numpy,numpy,cpython-only,,6,no
ExternalPython/EnsemblePlots_10Mar_Archive.py,cpython,numpy,numpy,cpython-only,,5,no
ExternalPython/Ensemble_Plots.py,cpython,numpy,numpy,cpython-only,,5,no
ExternalPython/Ensemble_Plots_Archive.py,cpython,numpy,numpy,cpython-only,,5,no
ExternalPython/Ensemble_Plots_Paralell.py,cpython,numpy,numpy,cpython-only,,133,yes
ExternalPython/Ensemble_Plots_Paralell.py,cpython,numpy,numpy,cpython-only,,240,yes
ExternalPython/Faster_DSS_Read_Plotly.py,cpython,numpy,numpy,cpython-only,,7,no
ExternalPython/MainstemAugmentation.py,cpython,numpy,numpy,cpython-only,,20,no
ExternalPython/OSI_Ensemble_Year.py,cpython,numpy,numpy,cpython-only,,5,no
ExternalPython/RFC_Downloader_Module.py,cpython,numpy,numpy,cpython-only,,3,no
SalemAlbanyAugScript/BeforeAlbanyWasAdded.py,cpython,numpy,numpy,cpython-only,,11,no
SalemAlbanyAugScript/Elev_Ensemble_Plotter.py,cpython,numpy,numpy,cpython-only,,5,no
SalemAlbanyAugScript/InflowEnsemblePlotter.py,cpython,numpy,numpy,cpython-only,,3,no
SalemAlbanyAugScript/SalemAugCheckPlots.py,cpython,numpy,numpy,cpython-only,,4,no
SalemAlbanyAugScript/TwoStepSalemAlbanyAug_19Feb2026.py,cpython,numpy,numpy,cpython-only,,20,no
Utilities/PrintMissingEnsembles.py,cpython,numpy,numpy,cpython-only,,11,no
ExternalPython/ALT_COMPARISON_PLOTS.py,cpython,pandas,pandas,cpython-only,,6,no
ExternalPython/ALT_COMPARISON_PLOTS_ARCHIVE.py,cpython,pandas,pandas,cpython-only,,6,no
ExternalPython/APE_Plotter.py,cpython,pandas,pandas,cpython-only,,6,no
ExternalPython/APE_Plotter_3.py,cpython,pandas,pandas,cpython-only,,6,no
ExternalPython/CWMS_DOWNLOADER_ARCHIVE.py,cpython,pandas,pandas,cpython-only,,15,no
ExternalPython/CWMS_Downloader_Module.py,cpython,pandas,pandas,cpython-only,,16,no
ExternalPython/Dummy_0_and_WY_Abundant_Module.py,cpython,pandas,pandas,cpython-only,,7,no
ExternalPython/EnsemblePlots_10Mar_Archive.py,cpython,pandas,pandas,cpython-only,,6,no
ExternalPython/Ensemble_Plots.py,cpython,pandas,pandas,cpython-only,,6,no
ExternalPython/Ensemble_Plots_Archive.py,cpython,pandas,pandas,cpython-only,,6,no
ExternalPython/Ensemble_Plots_Paralell.py,cpython,pandas,pandas,cpython-only,,134,yes
ExternalPython/Ensemble_Plots_Paralell.py,cpython,pandas,pandas,cpython-only,,174,yes
ExternalPython/Ensemble_Plots_Paralell.py,cpython,pandas,pandas,cpython-only,,241,yes
ExternalPython/Ensemble_Plots_Paralell.py,cpython,pandas,pandas,cpython-only,,283,yes
ExternalPython/Faster_DSS_Read_Plotly.py,cpython,pandas,pandas,cpython-only,,8,no
ExternalPython/MainstemAugmentation.py,cpython,pandas,pandas,cpython-only,,17,no
ExternalPython/OSI_Ensemble_Year.py,cpython,pandas,pandas,cpython-only,,6,no
ExternalPython/RFC_Downloader_Module.py,cpython,pandas,pandas,cpython-only,,4,no
SalemAlbanyAugScript/BeforeAlbanyWasAdded.py,cpython,pandas,pandas,cpython-only,,9,no
SalemAlbanyAugScript/Elev_Ensemble_Plotter.py,cpython,pandas,pandas,cpython-only,,6,no
SalemAlbanyAugScript/InflowEnsemblePlotter.py,cpython,pandas,pandas,cpython-only,,4,no
SalemAlbanyAugScript/SalemAugCheckPlots.py,cpython,pandas,pandas,cpython-only,,1,no
SalemAlbanyAugScript/TwoStepSalemAlbanyAug_19Feb2026.py,cpython,pandas,pandas,cpython-only,,17,no
Utilities/PrintMissingEnsembles.py,cpython,pandas,pandas,cpython-only,,10,no
Utilities/ResSimAltCompare.py,cpython,pandas,pandas,cpython-only,,9,no
ExternalPython/ALT_COMPARISON_PLOTS.py,cpython,pathlib,pathlib,cpython-only,Path,2,no
ExternalPython/ALT_COMPARISON_PLOTS_ARCHIVE.py,cpython,pathlib,pathlib,cpython-only,Path,2,no
ExternalPython/APE_Plotter.py,cpython,pathlib,pathlib,cpython-only,Path,2,no
ExternalPython/APE_Plotter_3.py,cpython,pathlib,pathlib,cpython-only,Path,2,no
ExternalPython/CWMS_DOWNLOADER_ARCHIVE.py,cpython,pathlib,pathlib,cpython-only,Path,24,no
ExternalPython/CWMS_Downloader_Module.py,cpython,pathlib,pathlib,cpython-only,Path,25,no
ExternalPython/Dummy_0_and_WY_Abundant_Module.py,cpython,pathlib,pathlib,cpython-only,Path,15,no
ExternalPython/EnsemblePlots_10Mar_Archive.py,cpython,pathlib,pathlib,cpython-only,Path,2,no
ExternalPython/Ensemble_Plots.py,cpython,pathlib,pathlib,cpython-only,Path,2,no
ExternalPython/Ensemble_Plots_Archive.py,cpython,pathlib,pathlib,cpython-only,Path,2,no
ExternalPython/Ensemble_Plots_Paralell.py,cpython,pathlib,pathlib,cpython-only,Path,19,no
ExternalPython/Faster_DSS_Read_Plotly.py,cpython,pathlib,pathlib,cpython-only,Path,4,no
ExternalPython/MainstemAugmentation.py,cpython,pathlib,pathlib,cpython-only,,23,no
ExternalPython/MainstemAugmentation.py,cpython,pathlib,pathlib,cpython-only,Path,26,no
ExternalPython/OSI_Ensemble_Year.py,cpython,pathlib,pathlib,cpython-only,Path,2,no
