A,B,C,E,F,n_blocks,first_D,last_D,example_path
,ALBANY,FLOW,1Day,USGS 14174000,6,01Jan2012,01Jan2017,//ALBANY/FLOW/01Jan2012/1Day/USGS 14174000/
,ALBANY,FLOW-LOCAL,1Day,WILLAMETTE_EIS,6,01Jan2012,01Jan2017,//ALBANY/FLOW-LOCAL/01Jan2012/1Day/WILLAMETTE_EIS/
,ALBANY,FLOW-LOCAL,1Day,WILLAMETTE_EIS-Temp1Day--0,6,01Jan2012,01Jan2017,//ALBANY/FLOW-LOCAL/01Jan2012/1Day/WILLAMETTE_EIS-Temp1Day--0/
,ALBO_ Albany_HMSsub_WillametteRv_S60,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//ALBO_ Albany_HMSsub_WillametteRv_S60/Flow/01Jan2012/1Day/Temp1Day--0/
,ALBO_ Albany_HMSsub_WillametteRv_S60,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//ALBO_ Albany_HMSsub_WillametteRv_S60/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,ALBO_ Albany_HMSsub_WillametteRv_S60,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//ALBO_ Albany_HMSsub_WillametteRv_S60/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,ALT CONFIG INFORMATION,TEXT,,Temp1Day--0,1,,,//ALT CONFIG INFORMATION/TEXT///Temp1Day--0/
,AURO Pudding_at Aurora,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO Pudding_at Aurora/Flow/01Jan2012/1Day/Temp1Day--0/
,AURO Pudding_at Aurora,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO Pudding_at Aurora/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,AURO Pudding_at Aurora,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO Pudding_at Aurora/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,AURO Pudding_at Aurora,Flow-IN-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO Pudding_at Aurora/Flow-IN-UNREG/01Jan2012/1Day/Temp1Day--0/
,AURO Pudding_at Aurora,Flow-Local,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO Pudding_at Aurora/Flow-Local/01Jan2012/1Day/Temp1Day--0/
,AURO Pudding_at Aurora,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO Pudding_at Aurora/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
